LLRLRRLLRLRRLLRLRRLRRRLRLRLRRRLLRLRRRLRLRRRLRLRLLLRRLRLRLLRLRRLRRRLRRRLLRRLRLRRRLRRLRRRLRLLRRLRRRLRRRLRRLRLRRLLLRLRLLRRRLRRLLRLRLRRLLRLRRLLRLRRLRRLLRRRLRLRLRRRLLRRRLRRLRRRLRRRLRLRRRLRRLLLRRRLRLLLRRRLRLLRLLRRRLLRRLRRRLRRRLRLLRLRLRRRLLRRLRRRLRRLRLLRRRLRRLRRRLRRRLRRRLRLRRRLRRRLRLRRRR

XGS = (FDM, XCS)
PJD = (XJN, PCV)
FLJ = (VRH, NBF)
RXS = (DNN, DHH)
DQD = (NTV, CRQ)
HGJ = (QJF, JTK)
JDL = (QHC, TKN)
VMX = (DVX, KDB)
SPX = (FMD, MQS)
DSQ = (BNF, PDJ)
XJQ = (QST, MFT)
BGX = (MSH, JQQ)
CMT = (FSP, SCN)
BVV = (LPL, LPL)
MBR = (BHB, RMB)
VVP = (QTP, TJC)
BFC = (SMR, SMR)
DTN = (CMN, NVG)
BVN = (BKM, KPN)
BCR = (MHM, MPT)
NDK = (NHG, RVN)
FRR = (NKL, KKN)
XDP = (GBQ, VGF)
KCS = (CXN, GGR)
HLG = (FMQ, NXV)
MTP = (KFV, QCH)
VFH = (GPQ, RFK)
HSG = (JKV, KNK)
THL = (CPG, BBF)
FJP = (CVM, BVF)
TGR = (LNL, JGD)
JJD = (QLT, QMC)
DQK = (NDK, NFS)
KFN = (PJK, XSJ)
QLN = (NKV, MGT)
GJR = (HBJ, HLG)
JXD = (NFK, KMD)
CGM = (QHF, PJR)
FPM = (DHB, VBS)
NMK = (MVX, MFM)
SJQ = (VBD, GKP)
XVX = (KCS, TNV)
FNC = (BCR, LQB)
KLA = (XKM, DNG)
CHD = (TPM, BHH)
RMV = (PBC, QPM)
BXH = (QDC, LKX)
VQK = (HRJ, LBX)
VNR = (SDB, JQL)
TQS = (JPX, NLL)
RPK = (KTX, XKP)
AAA = (XMG, HJX)
NQS = (TGB, RDK)
JKK = (SFX, VDH)
DKM = (RXJ, DXF)
VGF = (MXT, LKT)
KQN = (KTG, NCT)
MXV = (HFT, QJM)
CKP = (FMC, JPT)
HGP = (JMV, DXV)
VRC = (NVR, NHK)
DPR = (VBV, FLJ)
VBL = (PXB, BVN)
GSG = (KSL, VSX)
FNK = (VPD, NKN)
LVB = (SQB, SQB)
PRF = (HNP, TDG)
TGV = (NVR, NHK)
DXV = (QNK, PKL)
KMP = (KVB, VMR)
BTR = (LKF, PJD)
QHC = (DFT, DTJ)
RXM = (LRG, NPH)
KTX = (RFR, QRT)
